batch_id,store_id,sku_id,quantity_received,quantity_on_hand,received_date,expiry_date,current_price_inr,shelf_section
BAT-000459,STR-002,SKU-0003,17,17,2024-10-02,2024-10-07,95.5,Frozen
BAT-000679,STR-002,SKU-0077,20,20,2024-10-02,2024-11-12,128.0,Aisle-A
BAT-001347,STR-003,SKU-0149,30,30,2024-10-02,2025-09-22,85.0,Aisle-A
BAT-002002,STR-005,SKU-0068,6,6,2024-10-02,2024-11-26,150.0,Frozen
BAT-002658,STR-006,SKU-0136,87,87,2024-10-02,2024-12-26,167.5,Bulk Bins
BAT-000507,STR-002,SKU-0019,67,67,2024-10-03,2024-10-07,42.0,Refrigerated
BAT-000960,STR-003,SKU-0020,57,57,2024-10-03,2024-10-08,112.0,Aisle-B
BAT-001033,STR-003,SKU-0045,79,79,2024-10-03,2024-10-09,108.0,Frozen
BAT-001061,STR-003,SKU-0054,30,30,2024-10-03,2025-07-12,98.0,Frozen
BAT-001073,STR-003,SKU-0058,26,26,2024-10-03,2025-04-15,102.5,Frozen
BAT-001232,STR-003,SKU-0111,53,53,2024-10-03,2025-04-13,116.0,Aisle-B
BAT-001326,STR-003,SKU-0142,78,78,2024-10-03,2024-10-21,132.0,Produce Rack
BAT-001521,STR-004,SKU-0057,37,37,2024-10-03,2025-08-21,150.5,Checkout Display
BAT-001603,STR-004,SKU-0085,79,79,2024-10-03,2025-03-30,71.0,Checkout Display
BAT-001856,STR-005,SKU-0019,17,17,2024-10-03,2024-10-07,37.5,Frozen
BAT-002244,STR-005,SKU-0148,5,5,2024-10-03,2024-11-21,113.0,Checkout Display
BAT-002280,STR-006,SKU-0010,115,115,2024-10-03,2024-10-10,75.5,Aisle-A
BAT-002422,STR-006,SKU-0058,121,121,2024-10-03,2025-04-15,102.5,Produce Rack
BAT-002436,STR-006,SKU-0062,108,108,2024-10-03,2025-05-31,144.5,Refrigerated
BAT-000369,STR-001,SKU-0123,8,8,2024-10-04,2024-10-07,356.0,Refrigerated
BAT-000640,STR-002,SKU-0064,16,16,2024-10-04,2025-08-29,116.0,Bulk Bins
BAT-000671,STR-002,SKU-0074,35,35,2024-10-04,2025-01-29,98.5,Refrigerated
BAT-001078,STR-003,SKU-0060,40,40,2024-10-04,2025-05-12,164.0,Bulk Bins
BAT-001158,STR-003,SKU-0086,77,77,2024-10-04,2025-03-16,88.0,Frozen
BAT-001188,STR-003,SKU-0096,20,20,2024-10-04,2024-12-07,89.0,Checkout Display
BAT-001760,STR-004,SKU-0137,65,65,2024-10-04,2024-12-07,98.5,Refrigerated
BAT-002152,STR-005,SKU-0118,10,10,2024-10-04,2024-10-07,327.0,Frozen
BAT-002407,STR-006,SKU-0053,117,117,2024-10-04,2025-05-14,163.5,Aisle-B
BAT-002501,STR-006,SKU-0084,142,142,2024-10-04,2025-03-24,57.0,Produce Rack
BAT-002533,STR-006,SKU-0095,131,131,2024-10-04,2025-01-05,47.0,Refrigerated
BAT-002599,STR-006,SKU-0117,75,75,2024-10-04,2024-10-05,374.5,Frozen
BAT-000794,STR-002,SKU-0115,68,68,2024-10-05,2024-10-06,196.0,Produce Rack
BAT-000856,STR-002,SKU-0136,56,56,2024-10-05,2024-12-29,167.5,Produce Rack
BAT-000881,STR-002,SKU-0144,26,26,2024-10-05,2024-11-14,129.0,Bulk Bins
BAT-000900,STR-002,SKU-0150,43,43,2024-10-05,2024-10-10,75.0,Checkout Display
BAT-000942,STR-003,SKU-0014,28,28,2024-10-05,2024-10-15,81.5,Checkout Display
BAT-000952,STR-003,SKU-0018,47,47,2024-10-05,2024-10-10,71.5,Bulk Bins
BAT-001114,STR-003,SKU-0072,41,41,2024-10-05,2024-11-30,92.0,Aisle-A
BAT-001448,STR-004,SKU-0033,29,29,2024-10-05,2024-10-12,67.0,Produce Rack
BAT-001508,STR-004,SKU-0053,37,37,2024-10-05,2025-05-15,163.5,Refrigerated
BAT-002529,STR-006,SKU-0093,107,107,2024-10-05,2025-03-12,18.0,Aisle-A
BAT-002530,STR-006,SKU-0094,127,127,2024-10-05,2025-02-28,53.0,Aisle-A
BAT-000016,STR-001,SKU-0006,7,7,2024-10-06,2024-10-15,97.0,Frozen
BAT-000276,STR-001,SKU-0092,13,13,2024-10-06,2025-01-25,64.5,Aisle-B
BAT-000384,STR-001,SKU-0128,16,16,2024-10-06,2024-10-07,302.0,Aisle-A
BAT-001203,STR-003,SKU-0101,61,61,2024-10-06,2025-06-06,176.0,Aisle-B
BAT-001277,STR-003,SKU-0126,59,59,2024-10-06,2024-10-09,208.0,Refrigerated
BAT-001876,STR-005,SKU-0026,18,18,2024-10-06,2024-10-10,100.0,Produce Rack
BAT-001975,STR-005,SKU-0059,8,8,2024-10-06,2025-08-31,121.0,Produce Rack
BAT-002013,STR-005,SKU-0071,27,27,2024-10-06,2025-01-21,100.0,Produce Rack
BAT-002566,STR-006,SKU-0106,76,76,2024-10-06,2026-02-08,192.0,Aisle-B
BAT-000116,STR-001,SKU-0039,26,26,2024-10-07,2024-10-11,120.5,Aisle-A
BAT-000209,STR-001,SKU-0070,15,15,2024-10-07,2025-02-08,134.5,Produce Rack
BAT-000743,STR-002,SKU-0098,76,76,2024-10-07,2025-10-19,122.0,Aisle-B
BAT-000821,STR-002,SKU-0124,16,16,2024-10-07,2024-10-09,169.0,Aisle-B
BAT-001039,STR-003,SKU-0047,46,46,2024-10-07,2024-10-10,125.0,Aisle-B
BAT-001141,STR-003,SKU-0081,31,31,2024-10-07,2024-12-24,58.5,Checkout Display
BAT-001587,STR-004,SKU-0079,44,44,2024-10-07,2025-02-23,91.5,Produce Rack
BAT-001714,STR-004,SKU-0122,75,75,2024-10-07,2024-10-10,216.0,Refrigerated
BAT-001868,STR-005,SKU-0023,19,19,2024-10-07,2024-10-09,94.5,Aisle-B
BAT-001930,STR-005,SKU-0044,5,5,2024-10-07,2024-10-14,151.5,Produce Rack
BAT-001980,STR-005,SKU-0060,15,15,2024-10-07,2025-05-15,164.0,Frozen
BAT-002366,STR-006,SKU-0039,80,80,2024-10-07,2024-10-11,120.5,Produce Rack
BAT-002493,STR-006,SKU-0081,51,51,2024-10-07,2024-12-24,58.5,Checkout Display
BAT-000155,STR-001,SKU-0052,9,9,2024-10-08,2025-04-09,98.5,Aisle-B
BAT-000184,STR-001,SKU-0062,24,24,2024-10-08,2025-06-05,144.5,Bulk Bins
BAT-000320,STR-001,SKU-0107,28,28,2024-10-08,2025-07-24,147.5,Produce Rack
BAT-000558,STR-002,SKU-0036,74,74,2024-10-08,2024-10-14,177.5,Aisle-B
BAT-000653,STR-002,SKU-0068,53,53,2024-10-08,2024-12-02,150.0,Produce Rack
BAT-000692,STR-002,SKU-0081,44,44,2024-10-08,2024-12-25,58.5,Checkout Display
BAT-000973,STR-003,SKU-0025,62,62,2024-10-08,2024-10-10,80.0,Produce Rack
BAT-000980,STR-003,SKU-0027,73,73,2024-10-08,2024-10-10,52.5,Aisle-A
BAT-001608,STR-004,SKU-0086,66,66,2024-10-08,2025-03-20,88.0,Aisle-B
BAT-001707,STR-004,SKU-0119,58,58,2024-10-08,2024-10-10,574.5,Frozen
