claim_id,user_id,batch_id,store_id,claimed_at,channel_used,discount_at_claim_pct,fulfillment_type,completed,completed_at
CLM-0000001,USR-00343,BAT-000779,STR-002,2024-11-17T09:07:00,WhatsApp,0.0,delivery,False,
CLM-0000002,USR-00209,BAT-000621,STR-002,2025-01-12T20:02:00,reply-YES,26.9,delivery,False,
CLM-0000003,USR-00130,BAT-001633,STR-004,2025-02-07T19:07:00,SMS,0.0,delivery,True,2025-02-07T19:26:00
CLM-0000004,USR-00471,BAT-002471,STR-006,2025-02-04T13:23:00,WhatsApp,0.0,delivery,True,2025-02-04T13:56:00
CLM-0000005,USR-00220,BAT-000027,STR-001,2024-12-21T13:34:00,WhatsApp,10.0,delivery,True,2024-12-21T14:26:00
CLM-0000006,USR-00121,BAT-002656,STR-006,2024-12-26T15:06:00,reply-YES,0.0,delivery,False,
CLM-0000007,USR-00113,BAT-002673,STR-006,2025-01-18T21:15:00,WhatsApp,0.0,delivery,False,
CLM-0000008,USR-00222,BAT-000161,STR-001,2024-10-09T15:05:00,WhatsApp,0.0,pickup,False,
CLM-0000009,USR-00087,BAT-001626,STR-004,2025-01-28T19:07:00,SMS,0.0,pickup,True,2025-01-28T21:01:00
CLM-0000010,USR-00458,BAT-001647,STR-004,2024-11-23T16:06:00,SMS,0.0,pickup,False,
CLM-0000011,USR-00196,BAT-001537,STR-004,2024-12-10T15:13:00,WhatsApp,0.0,pickup,True,2024-12-10T16:33:00
CLM-0000012,USR-00270,BAT-000651,STR-002,2024-11-13T13:12:00,SMS,0.0,pickup,True,2024-11-13T14:16:00
CLM-0000013,USR-00207,BAT-000154,STR-001,2024-12-18T14:06:00,reply-YES,0.0,pickup,False,
CLM-0000014,USR-00338,BAT-002469,STR-006,2025-01-04T14:11:00,SMS,0.0,pickup,False,
CLM-0000015,USR-00338,BAT-002566,STR-006,2024-10-16T09:11:00,SMS,0.0,pickup,True,2024-10-16T09:51:00
CLM-0000016,USR-00177,BAT-002031,STR-005,2024-11-05T11:03:00,WhatsApp,35.2,pickup,True,2024-11-05T11:31:00
CLM-0000017,USR-00084,BAT-001225,STR-003,2025-02-24T16:31:00,SMS,0.0,delivery,True,2025-02-24T17:46:00
CLM-0000018,USR-00158,BAT-000723,STR-002,2024-12-29T16:14:00,reply-YES,0.0,pickup,False,
CLM-0000019,USR-00229,BAT-002635,STR-006,2025-01-19T17:05:00,reply-YES,0.0,pickup,True,2025-01-19T17:49:00
CLM-0000020,USR-00248,BAT-001824,STR-005,2025-03-10T21:24:00,WhatsApp,0.0,pickup,True,2025-03-10T23:08:00
CLM-0000021,USR-00452,BAT-001386,STR-004,2025-01-24T12:05:00,WhatsApp,0.0,delivery,True,2025-01-24T13:29:00
CLM-0000022,USR-00339,BAT-001499,STR-004,2025-03-13T21:12:00,reply-YES,0.0,delivery,True,2025-03-13T22:48:00
CLM-0000023,USR-00357,BAT-001604,STR-004,2025-02-28T17:15:00,WhatsApp,0.0,delivery,True,2025-02-28T18:37:00
CLM-0000024,USR-00229,BAT-001099,STR-003,2025-01-07T10:08:00,SMS,0.0,delivery,True,2025-01-07T11:20:00
CLM-0000025,USR-00078,BAT-002031,STR-005,2024-11-15T11:18:00,reply-YES,35.2,delivery,True,2024-11-15T11:46:00
CLM-0000026,USR-00178,BAT-001532,STR-004,2024-11-20T15:26:00,reply-YES,0.0,pickup,True,2024-11-20T16:43:00
CLM-0000027,USR-00198,BAT-002683,STR-006,2025-01-11T09:03:00,reply-YES,10.0,delivery,True,2025-01-11T09:49:00
CLM-0000028,USR-00135,BAT-001604,STR-004,2025-01-24T15:02:00,reply-YES,0.0,pickup,True,2025-01-24T15:28:00
CLM-0000029,USR-00306,BAT-002496,STR-006,2025-03-01T15:20:00,SMS,0.0,pickup,True,2025-03-01T16:15:00
CLM-0000030,USR-00149,BAT-001125,STR-003,2024-12-23T14:03:00,reply-YES,0.0,delivery,True,2024-12-23T14:34:00
CLM-0000031,USR-00122,BAT-000620,STR-002,2024-12-30T20:09:00,SMS,0.0,pickup,False,
CLM-0000032,USR-00493,BAT-002504,STR-006,2025-01-27T13:27:00,reply-YES,35.9,delivery,True,2025-01-27T13:53:00
CLM-0000033,USR-00025,BAT-001184,STR-003,2024-12-23T13:41:00,reply-YES,0.0,pickup,True,2024-12-23T14:28:00
CLM-0000034,USR-00156,BAT-000651,STR-002,2024-11-30T17:04:00,WhatsApp,0.0,delivery,True,2024-11-30T17:50:00
CLM-0000035,USR-00432,BAT-001533,STR-004,2025-02-20T10:11:00,WhatsApp,0.0,delivery,True,2025-02-20T12:10:00
CLM-0000036,USR-00314,BAT-001551,STR-004,2024-12-10T15:03:00,SMS,0.0,delivery,True,2024-12-10T16:44:00
CLM-0000037,USR-00351,BAT-002454,STR-006,2024-11-27T09:02:00,WhatsApp,0.0,delivery,False,
CLM-0000038,USR-00117,BAT-002401,STR-006,2025-02-15T14:03:00,WhatsApp,0.0,pickup,True,2025-02-15T15:24:00
CLM-0000039,USR-00371,BAT-000326,STR-001,2025-01-04T13:05:00,reply-YES,0.0,delivery,True,2025-01-04T13:29:00
CLM-0000040,USR-00260,BAT-001495,STR-004,2025-01-16T15:02:00,WhatsApp,0.0,pickup,True,2025-01-16T15:17:00
CLM-0000041,USR-00294,BAT-002429,STR-006,2024-12-23T17:11:00,reply-YES,0.0,delivery,True,2024-12-23T17:39:00
