record_id,batch_id,store_id,sku_id,date,hour_of_day,units_sold,price_at_sale_inr,discount_depth_pct,time_to_expiry_hours_at_sale,day_of_week,is_weekend,is_holiday,outcome
SL-00000001,BAT-000459,STR-002,SKU-0003,2024-10-02,15,7,86.0,10.0,120,2,False,True,partially_sold
SL-00000002,BAT-000459,STR-002,SKU-0003,2024-10-03,20,6,86.0,10.0,96,3,False,False,partially_sold
SL-00000003,BAT-000459,STR-002,SKU-0003,2024-10-04,18,4,86.0,10.0,72,4,False,False,sold_out
SL-00000004,BAT-000679,STR-002,SKU-0077,2024-10-02,16,1,128.0,0.0,984,2,False,True,partially_sold
SL-00000005,BAT-000679,STR-002,SKU-0077,2024-10-03,13,1,128.0,0.0,960,3,False,False,partially_sold
SL-00000006,BAT-000679,STR-002,SKU-0077,2024-10-04,10,1,128.0,0.0,936,4,False,False,partially_sold
SL-00000007,BAT-000679,STR-002,SKU-0077,2024-10-05,12,1,128.0,0.0,912,5,True,False,partially_sold
SL-00000008,BAT-000679,STR-002,SKU-0077,2024-10-06,11,1,128.0,0.0,888,6,True,False,partially_sold
SL-00000009,BAT-000679,STR-002,SKU-0077,2024-10-07,17,1,128.0,0.0,864,0,False,False,partially_sold
SL-00000010,BAT-000679,STR-002,SKU-0077,2024-10-08,12,1,128.0,0.0,840,1,False,False,partially_sold
SL-00000011,BAT-000679,STR-002,SKU-0077,2024-10-09,13,1,128.0,0.0,816,2,False,False,partially_sold
SL-00000012,BAT-000679,STR-002,SKU-0077,2024-10-10,20,1,128.0,0.0,792,3,False,False,partially_sold
SL-00000013,BAT-000679,STR-002,SKU-0077,2024-10-11,17,1,128.0,0.0,768,4,False,False,partially_sold
SL-00000014,BAT-000679,STR-002,SKU-0077,2024-10-12,12,1,128.0,0.0,744,5,True,False,partially_sold
SL-00000015,BAT-000679,STR-002,SKU-0077,2024-10-13,10,1,128.0,0.0,720,6,True,False,partially_sold
SL-00000016,BAT-000679,STR-002,SKU-0077,2024-10-14,14,1,128.0,0.0,696,0,False,False,partially_sold
SL-00000017,BAT-000679,STR-002,SKU-0077,2024-10-15,20,1,128.0,0.0,672,1,False,False,partially_sold
SL-00000018,BAT-000679,STR-002,SKU-0077,2024-10-16,21,1,128.0,0.0,648,2,False,False,partially_sold
