store_id,city,forecast_datetime,hour_ahead,predicted_temp_c,precipitation_probability_pct,predicted_condition
STR-001,Mumbai,2025-03-31T01:00:00,1,28.5,39,rainy
STR-001,Mumbai,2025-03-31T02:00:00,2,30.0,28,cloudy
STR-001,Mumbai,2025-03-31T03:00:00,3,31.3,2,sunny
STR-001,Mumbai,2025-03-31T04:00:00,4,30.0,22,cloudy
STR-001,Mumbai,2025-03-31T05:00:00,5,24.3,8,sunny
STR-001,Mumbai,2025-03-31T06:00:00,6,25.4,29,cloudy
STR-001,Mumbai,2025-03-31T07:00:00,7,26.8,29,cloudy
STR-001,Mumbai,2025-03-31T08:00:00,8,28.1,17,sunny
STR-001,Mumbai,2025-03-31T09:00:00,9,29.0,0,sunny
STR-001,Mumbai,2025-03-31T10:00:00,10,26.5,10,sunny
STR-001,Mumbai,2025-03-31T11:00:00,11,28.4,22,cloudy
STR-001,Mumbai,2025-03-31T12:00:00,12,26.5,32,cloudy
STR-001,Mumbai,2025-03-31T13:00:00,13,26.8,32,cloudy
STR-001,Mumbai,2025-03-31T14:00:00,14,25.2,13,sunny
STR-001,Mumbai,2025-03-31T15:00:00,15,26.2,22,cloudy
STR-001,Mumbai,2025-03-31T16:00:00,16,25.3,33,cloudy
STR-001,Mumbai,2025-03-31T17:00:00,17,26.0,24,cloudy
STR-001,Mumbai,2025-03-31T18:00:00,18,30.1,32,cloudy
STR-001,Mumbai,2025-03-31T19:00:00,19,26.1,4,sunny
STR-001,Mumbai,2025-03-31T20:00:00,20,33.3,11,sunny
STR-001,Mumbai,2025-03-31T21:00:00,21,29.0,9,sunny
STR-001,Mumbai,2025-03-31T22:00:00,22,28.4,22,cloudy
STR-001,Mumbai,2025-03-31T23:00:00,23,26.3,36,rainy
STR-001,Mumbai,2025-04-01T00:00:00,24,29.4,21,cloudy
STR-001,Mumbai,2025-04-01T01:00:00,25,26.8,29,cloudy
STR-001,Mumbai,2025-04-01T02:00:00,26,28.2,8,sunny
STR-001,Mumbai,2025-04-01T03:00:00,27,33.1,17,sunny
STR-001,Mumbai,2025-04-01T04:00:00,28,27.8,19,sunny
STR-001,Mumbai,2025-04-01T05:00:00,29,30.3,25,cloudy
STR-001,Mumbai,2025-04-01T06:00:00,30,26.6,4,sunny
STR-001,Mumbai,2025-04-01T07:00:00,31,27.9,30,cloudy
STR-001,Mumbai,2025-04-01T08:00:00,32,31.5,24,cloudy
STR-001,Mumbai,2025-04-01T09:00:00,33,26.7,30,cloudy
STR-001,Mumbai,2025-04-01T10:00:00,34,31.6,38,rainy
STR-001,Mumbai,2025-04-01T11:00:00,35,29.4,11,sunny
STR-001,Mumbai,2025-04-01T12:00:00,36,26.9,36,rainy
STR-001,Mumbai,2025-04-01T13:00:00,37,29.3,32,cloudy
STR-001,Mumbai,2025-04-01T14:00:00,38,29.9,33,cloudy
STR-001,Mumbai,2025-04-01T15:00:00,39,29.2,16,sunny
STR-001,Mumbai,2025-04-01T16:00:00,40,24.9,8,sunny
STR-001,Mumbai,2025-04-01T17:00:00,41,26.5,20,cloudy
STR-001,Mumbai,2025-04-01T18:00:00,42,27.5,37,rainy
STR-001,Mumbai,2025-04-01T19:00:00,43,27.9,37,rainy
STR-001,Mumbai,2025-04-01T20:00:00,44,29.2,22,cloudy
STR-001,Mumbai,2025-04-01T21:00:00,45,28.4,37,rainy
STR-001,Mumbai,2025-04-01T22:00:00,46,25.3,39,rainy
STR-001,Mumbai,2025-04-01T23:00:00,47,28.8,25,cloudy
STR-001,Mumbai,2025-04-02T00:00:00,48,29.2,4,sunny
STR-002,Chennai,2025-03-31T01:00:00,1,30.1,2,sunny
STR-002,Chennai,2025-03-31T02:00:00,2,31.2,1,sunny
STR-002,Chennai,2025-03-31T03:00:00,3,30.7,10,sunny
STR-002,Chennai,2025-03-31T04:00:00,4,29.9,14,sunny
STR-002,Chennai,2025-03-31T05:00:00,5,28.9,6,sunny
STR-002,Chennai,2025-03-31T06:00:00,6,25.7,6,sunny
STR-002,Chennai,2025-03-31T07:00:00,7,29.9,31,cloudy
STR-002,Chennai,2025-03-31T08:00:00,8,29.4,30,cloudy
STR-002,Chennai,2025-03-31T09:00:00,9,29.5,20,cloudy
STR-002,Chennai,2025-03-31T10:00:00,10,26.4,14,sunny
STR-002,Chennai,2025-03-31T11:00:00,11,26.8,15,sunny
STR-002,Chennai,2025-03-31T12:00:00,12,31.1,6,sunny
STR-002,Chennai,2025-03-31T13:00:00,13,28.9,11,sunny
STR-002,Chennai,2025-03-31T14:00:00,14,30.4,24,cloudy
STR-002,Chennai,2025-03-31T15:00:00,15,29.1,26,cloudy
STR-002,Chennai,2025-03-31T16:00:00,16,29.1,4,sunny
STR-002,Chennai,2025-03-31T17:00:00,17,30.9,3,sunny
STR-002,Chennai,2025-03-31T18:00:00,18,28.0,39,rainy
STR-002,Chennai,2025-03-31T19:00:00,19,29.2,16,sunny
STR-002,Chennai,2025-03-31T20:00:00,20,28.1,7,sunny
STR-002,Chennai,2025-03-31T21:00:00,21,28.1,2,sunny
STR-002,Chennai,2025-03-31T22:00:00,22,28.4,4,sunny
STR-002,Chennai,2025-03-31T23:00:00,23,29.4,28,cloudy
STR-002,Chennai,2025-04-01T00:00:00,24,28.0,23,cloudy
STR-002,Chennai,2025-04-01T01:00:00,25,31.5,38,rainy
STR-002,Chennai,2025-04-01T02:00:00,26,27.2,40,rainy
STR-002,Chennai,2025-04-01T03:00:00,27,28.6,1,sunny
STR-002,Chennai,2025-04-01T04:00:00,28,28.1,11,sunny
STR-002,Chennai,2025-04-01T05:00:00,29,31.9,20,cloudy
STR-002,Chennai,2025-04-01T06:00:00,30,29.4,6,sunny
STR-002,Chennai,2025-04-01T07:00:00,31,31.1,28,cloudy
STR-002,Chennai,2025-04-01T08:00:00,32,26.0,24,cloudy
STR-002,Chennai,2025-04-01T09:00:00,33,29.5,8,sunny
STR-002,Chennai,2025-04-01T10:00:00,34,30.8,40,rainy
STR-002,Chennai,2025-04-01T11:00:00,35,29.2,36,rainy
STR-002,Chennai,2025-04-01T12:00:00,36,31.1,35,rainy
STR-002,Chennai,2025-04-01T13:00:00,37,28.0,12,sunny
STR-002,Chennai,2025-04-01T14:00:00,38,31.8,12,sunny
STR-002,Chennai,2025-04-01T15:00:00,39,33.6,16,sunny
STR-002,Chennai,2025-04-01T16:00:00,40,28.3,31,cloudy
STR-002,Chennai,2025-04-01T17:00:00,41,28.1,28,cloudy
STR-002,Chennai,2025-04-01T18:00:00,42,31.9,18,sunny
STR-002,Chennai,2025-04-01T19:00:00,43,32.2,14,sunny
STR-002,Chennai,2025-04-01T20:00:00,44,28.0,12,sunny
STR-002,Chennai,2025-04-01T21:00:00,45,28.2,10,sunny
STR-002,Chennai,2025-04-01T22:00:00,46,28.4,27,cloudy
STR-002,Chennai,2025-04-01T23:00:00,47,26.3,33,cloudy
