store_id,city,date,avg_temperature_c,precipitation_probability_pct,condition
STR-001,Mumbai,2024-10-02,28.4,25,sunny
STR-001,Mumbai,2024-10-03,25.1,25,sunny
STR-001,Mumbai,2024-10-04,25.4,29,sunny
STR-001,Mumbai,2024-10-05,27.2,16,sunny
STR-001,Mumbai,2024-10-06,26.5,10,sunny
STR-001,Mumbai,2024-10-07,28.5,12,sunny
STR-001,Mumbai,2024-10-08,26.6,25,sunny
STR-001,Mumbai,2024-10-09,25.9,12,sunny
STR-001,Mumbai,2024-10-10,30.2,14,sunny
STR-001,Mumbai,2024-10-11,27.7,11,sunny
STR-001,Mumbai,2024-10-12,28.1,22,sunny
STR-001,Mumbai,2024-10-13,25.9,12,sunny
STR-001,Mumbai,2024-10-14,27.2,28,sunny
STR-001,Mumbai,2024-10-15,28.2,29,sunny
STR-001,Mumbai,2024-10-16,26.3,30,cloudy
STR-001,Mumbai,2024-10-17,28.6,30,cloudy
STR-001,Mumbai,2024-10-18,27.1,17,sunny
STR-001,Mumbai,2024-10-19,27.6,29,sunny
STR-001,Mumbai,2024-10-20,27.1,13,sunny
STR-001,Mumbai,2024-10-21,30.8,26,sunny
STR-001,Mumbai,2024-10-22,28.0,6,sunny
STR-001,Mumbai,2024-10-23,26.4,13,sunny
STR-001,Mumbai,2024-10-24,29.2,7,sunny
STR-001,Mumbai,2024-10-25,26.2,9,sunny
STR-001,Mumbai,2024-10-26,28.3,25,sunny
STR-001,Mumbai,2024-10-27,25.1,5,sunny
STR-001,Mumbai,2024-10-28,26.0,25,sunny
STR-001,Mumbai,2024-10-29,28.3,23,sunny
STR-001,Mumbai,2024-10-30,29.1,8,sunny
STR-001,Mumbai,2024-10-31,28.3,8,sunny
STR-001,Mumbai,2024-11-01,26.3,19,sunny
STR-001,Mumbai,2024-11-02,26.0,24,sunny
STR-001,Mumbai,2024-11-03,24.3,8,sunny
STR-001,Mumbai,2024-11-04,25.4,8,sunny
STR-001,Mumbai,2024-11-05,25.8,9,sunny
STR-001,Mumbai,2024-11-06,28.1,14,sunny
STR-001,Mumbai,2024-11-07,27.0,13,sunny
STR-001,Mumbai,2024-11-08,23.9,10,sunny
STR-001,Mumbai,2024-11-09,27.0,7,sunny
STR-001,Mumbai,2024-11-10,25.9,7,sunny
STR-001,Mumbai,2024-11-11,25.5,20,sunny
STR-001,Mumbai,2024-11-12,27.4,16,sunny
STR-001,Mumbai,2024-11-13,28.0,11,sunny
STR-001,Mumbai,2024-11-14,27.9,17,sunny
STR-001,Mumbai,2024-11-15,25.2,8,sunny
STR-001,Mumbai,2024-11-16,26.0,20,sunny
STR-001,Mumbai,2024-11-17,27.0,30,cloudy
STR-001,Mumbai,2024-11-18,28.0,5,sunny
STR-001,Mumbai,2024-11-19,25.8,18,sunny
STR-001,Mumbai,2024-11-20,26.2,7,sunny
STR-001,Mumbai,2024-11-21,24.8,20,sunny
STR-001,Mumbai,2024-11-22,24.7,25,sunny
STR-001,Mumbai,2024-11-23,27.7,7,sunny
STR-001,Mumbai,2024-11-24,28.5,11,sunny
STR-001,Mumbai,2024-11-25,26.4,26,sunny
STR-001,Mumbai,2024-11-26,28.0,18,sunny
STR-001,Mumbai,2024-11-27,27.0,17,sunny
STR-001,Mumbai,2024-11-28,25.5,15,sunny
STR-001,Mumbai,2024-11-29,27.0,25,sunny
STR-001,Mumbai,2024-11-30,28.8,19,sunny
STR-001,Mumbai,2024-12-01,25.3,5,sunny
STR-001,Mumbai,2024-12-02,27.7,5,sunny
STR-001,Mumbai,2024-12-03,21.5,9,sunny
STR-001,Mumbai,2024-12-04,26.6,0,sunny
STR-001,Mumbai,2024-12-05,25.5,5,sunny
STR-001,Mumbai,2024-12-06,25.0,1,sunny
STR-001,Mumbai,2024-12-07,25.5,3,sunny
STR-001,Mumbai,2024-12-08,22.4,10,sunny
STR-001,Mumbai,2024-12-09,25.1,11,sunny
STR-001,Mumbai,2024-12-10,25.9,15,sunny
STR-001,Mumbai,2024-12-11,27.6,0,sunny
STR-001,Mumbai,2024-12-12,24.6,5,sunny
STR-001,Mumbai,2024-12-13,24.2,8,sunny
STR-001,Mumbai,2024-12-14,24.6,3,sunny
STR-001,Mumbai,2024-12-15,26.8,6,sunny
STR-001,Mumbai,2024-12-16,25.9,0,sunny
STR-001,Mumbai,2024-12-17,24.6,0,sunny
STR-001,Mumbai,2024-12-18,26.2,4,sunny
STR-001,Mumbai,2024-12-19,25.5,6,sunny
STR-001,Mumbai,2024-12-20,26.9,11,sunny
STR-001,Mumbai,2024-12-21,24.3,3,sunny
STR-001,Mumbai,2024-12-22,24.9,6,sunny
STR-001,Mumbai,2024-12-23,24.8,0,sunny
STR-001,Mumbai,2024-12-24,23.2,10,sunny
STR-001,Mumbai,2024-12-25,25.8,4,sunny
STR-001,Mumbai,2024-12-26,25.8,7,sunny
STR-001,Mumbai,2024-12-27,25.4,2,sunny
STR-001,Mumbai,2024-12-28,25.1,4,sunny
STR-001,Mumbai,2024-12-29,23.3,8,sunny
STR-001,Mumbai,2024-12-30,24.8,8,sunny
STR-001,Mumbai,2024-12-31,24.9,15,sunny
STR-001,Mumbai,2025-01-01,23.8,6,sunny
STR-001,Mumbai,2025-01-02,24.8,2,sunny
STR-001,Mumbai,2025-01-03,25.6,11,sunny
STR-001,Mumbai,2025-01-04,27.8,9,sunny
STR-001,Mumbai,2025-01-05,25.3,14,sunny
