claim_id,user_id,batch_id,store_id,claimed_at,channel_used,discount_at_claim_pct,fulfillment_type,completed,completed_at
CLM-0000005,USR-00220,BAT-000027,STR-001,2024-12-21T13:34:00,WhatsApp,10.0,delivery,True,2024-12-21T14:26:00
CLM-0000008,USR-00222,BAT-000161,STR-001,2024-10-09T15:05:00,WhatsApp,0.0,pickup,False,
CLM-0000013,USR-00207,BAT-000154,STR-001,2024-12-18T14:06:00,reply-YES,0.0,pickup,False,
CLM-0000039,USR-00371,BAT-000326,STR-001,2025-01-04T13:05:00,reply-YES,0.0,delivery,True,2025-01-04T13:29:00
CLM-0000075,USR-00189,BAT-000300,STR-001,2024-11-13T18:35:00,WhatsApp,0.0,pickup,True,2024-11-13T19:09:00
CLM-0000077,USR-00306,BAT-000214,STR-001,2024-10-25T15:17:00,WhatsApp,0.0,delivery,True,2024-10-25T16:30:00
CLM-0000091,USR-00251,BAT-000398,STR-001,2025-03-28T16:12:00,WhatsApp,0.0,delivery,True,2025-03-28T17:03:00
CLM-0000096,USR-00092,BAT-000208,STR-001,2025-03-14T15:28:00,SMS,0.0,delivery,True,2025-03-14T16:00:00
CLM-0000106,USR-00092,BAT-000189,STR-001,2024-11-15T10:13:00,SMS,0.0,pickup,True,2024-11-15T10:51:00
CLM-0000127,USR-00415,BAT-000261,STR-001,2025-01-25T16:04:00,reply-YES,0.0,delivery,True,2025-01-25T17:28:00
CLM-0000141,USR-00283,BAT-000192,STR-001,2025-03-04T13:02:00,SMS,0.0,pickup,False,
CLM-0000146,USR-00466,BAT-000190,STR-001,2025-01-23T20:14:00,WhatsApp,0.0,pickup,False,
CLM-0000153,USR-00271,BAT-000299,STR-001,2025-01-13T14:10:00,WhatsApp,26.9,delivery,True,2025-01-13T14:48:00
CLM-0000154,USR-00258,BAT-000221,STR-001,2025-03-06T15:05:00,reply-YES,0.0,pickup,True,2025-03-06T15:32:00
CLM-0000170,USR-00474,BAT-000417,STR-001,2024-10-31T11:07:00,WhatsApp,0.0,pickup,True,2024-10-31T11:34:00
CLM-0000172,USR-00081,BAT-000411,STR-001,2024-12-10T13:04:00,SMS,0.0,pickup,True,2024-12-10T14:14:00
CLM-0000173,USR-00189,BAT-000196,STR-001,2024-12-07T17:19:00,SMS,0.0,pickup,False,
CLM-0000194,USR-00096,BAT-000267,STR-001,2024-11-17T09:25:00,WhatsApp,0.0,delivery,False,
CLM-0000196,USR-00313,BAT-000312,STR-001,2025-03-31T20:13:00,WhatsApp,0.0,delivery,True,2025-03-31T21:07:00
CLM-0000202,USR-00037,BAT-000152,STR-001,2024-12-31T15:18:00,WhatsApp,22.0,pickup,False,
CLM-0000220,USR-00035,BAT-000062,STR-001,2024-11-14T20:03:00,reply-YES,10.0,delivery,True,2024-11-14T20:48:00
CLM-0000221,USR-00391,BAT-000163,STR-001,2025-01-29T16:30:00,SMS,0.0,delivery,False,
CLM-0000245,USR-00475,BAT-000310,STR-001,2025-03-24T15:02:00,WhatsApp,0.0,delivery,True,2025-03-24T16:50:00
CLM-0000253,USR-00267,BAT-000299,STR-001,2025-01-08T15:05:00,reply-YES,26.9,delivery,True,2025-01-08T15:32:00
CLM-0000255,USR-00147,BAT-000243,STR-001,2025-01-04T12:24:00,reply-YES,0.0,delivery,True,2025-01-04T13:03:00
CLM-0000269,USR-00160,BAT-000399,STR-001,2025-03-17T21:01:00,WhatsApp,0.0,pickup,False,
CLM-0000271,USR-00273,BAT-000335,STR-001,2025-02-15T21:40:00,SMS,0.0,delivery,False,
CLM-0000288,USR-00377,BAT-000214,STR-001,2024-11-02T11:10:00,SMS,0.0,pickup,False,
CLM-0000289,USR-00033,BAT-000449,STR-001,2024-10-16T18:14:00,WhatsApp,10.0,delivery,True,2024-10-16T20:11:00
CLM-0000296,USR-00052,BAT-000445,STR-001,2025-03-07T13:43:00,WhatsApp,33.0,delivery,True,2025-03-07T14:48:00
CLM-0000298,USR-00421,BAT-000210,STR-001,2025-01-27T12:07:00,SMS,0.0,pickup,True,2025-01-27T13:25:00
CLM-0000319,USR-00195,BAT-000280,STR-001,2025-03-17T18:04:00,SMS,22.6,delivery,True,2025-03-17T19:12:00
CLM-0000320,USR-00359,BAT-000290,STR-001,2025-03-16T09:12:00,reply-YES,0.0,delivery,True,2025-03-16T10:23:00
CLM-0000327,USR-00386,BAT-000105,STR-001,2025-02-14T14:15:00,reply-YES,0.0,delivery,True,2025-02-14T14:34:00
CLM-0000337,USR-00352,BAT-000244,STR-001,2024-11-24T12:03:00,SMS,0.0,pickup,True,2024-11-24T13:14:00
CLM-0000343,USR-00152,BAT-000252,STR-001,2025-02-16T19:19:00,SMS,0.0,delivery,True,2025-02-16T20:27:00
CLM-0000360,USR-00117,BAT-000249,STR-001,2024-12-03T17:10:00,WhatsApp,0.0,delivery,True,2024-12-03T18:26:00
CLM-0000390,USR-00190,BAT-000104,STR-001,2025-01-02T17:01:00,SMS,0.0,pickup,True,2025-01-02T17:55:00
CLM-0000397,USR-00031,BAT-000130,STR-001,2024-11-28T14:02:00,reply-YES,0.0,pickup,True,2024-11-28T14:52:00
CLM-0000412,USR-00091,BAT-000240,STR-001,2024-11-12T12:08:00,WhatsApp,0.0,pickup,True,2024-11-12T13:01:00
CLM-0000437,USR-00011,BAT-000429,STR-001,2025-01-26T19:21:00,WhatsApp,0.0,delivery,True,2025-01-26T19:43:00
CLM-0000445,USR-00495,BAT-000108,STR-001,2025-02-28T14:03:00,reply-YES,0.0,pickup,True,2025-02-28T15:05:00
CLM-0000449,USR-00180,BAT-000107,STR-001,2025-01-09T12:01:00,WhatsApp,10.0,pickup,False,
CLM-0000466,USR-00405,BAT-000389,STR-001,2025-03-18T10:12:00,reply-YES,0.0,delivery,True,2025-03-18T10:34:00
CLM-0000479,USR-00389,BAT-000354,STR-001,2025-03-27T19:07:00,SMS,10.0,pickup,True,2025-03-27T21:05:00
CLM-0000508,USR-00316,BAT-000127,STR-001,2024-11-15T13:12:00,WhatsApp,10.0,delivery,True,2024-11-15T14:13:00
CLM-0000512,USR-00288,BAT-000319,STR-001,2024-12-31T13:03:00,WhatsApp,0.0,pickup,True,2024-12-31T14:21:00
CLM-0000519,USR-00174,BAT-000169,STR-001,2024-12-12T20:02:00,SMS,0.0,pickup,True,2024-12-12T20:47:00
CLM-0000521,USR-00189,BAT-000327,STR-001,2025-02-24T17:25:00,WhatsApp,0.0,delivery,True,2025-02-24T18:11:00
CLM-0000533,USR-00328,BAT-000285,STR-001,2025-02-16T12:33:00,SMS,0.0,pickup,True,2025-02-16T14:29:00
CLM-0000584,USR-00403,BAT-000266,STR-001,2025-02-15T19:05:00,reply-YES,0.0,pickup,False,
CLM-0000593,USR-00179,BAT-000332,STR-001,2025-01-02T13:20:00,SMS,0.0,pickup,True,2025-01-02T13:59:00
CLM-0000599,USR-00315,BAT-000032,STR-001,2024-11-22T20:13:00,reply-YES,10.0,delivery,False,
CLM-0000602,USR-00281,BAT-000427,STR-001,2024-12-29T11:06:00,SMS,0.0,delivery,True,2024-12-29T12:35:00
CLM-0000613,USR-00291,BAT-000222,STR-001,2025-03-31T14:04:00,WhatsApp,0.0,pickup,False,
CLM-0000616,USR-00356,BAT-000239,STR-001,2025-03-14T18:27:00,SMS,0.0,delivery,False,
CLM-0000629,USR-00295,BAT-000151,STR-001,2025-03-02T13:04:00,WhatsApp,0.0,delivery,True,2025-03-02T15:00:00
CLM-0000634,USR-00003,BAT-000212,STR-001,2025-01-14T18:06:00,WhatsApp,23.0,delivery,True,2025-01-14T19:43:00
CLM-0000650,USR-00070,BAT-000346,STR-001,2025-02-28T21:34:00,WhatsApp,20.0,delivery,True,2025-02-28T23:24:00
CLM-0000670,USR-00092,BAT-000290,STR-001,2025-03-06T10:26:00,reply-YES,0.0,pickup,True,2025-03-06T10:47:00
