store_id,date,hour_of_day,transaction_count,is_weekend,local_event
STR-001,2025-03-17,0,0,False,
STR-001,2025-03-17,1,0,False,
STR-001,2025-03-17,2,0,False,
STR-001,2025-03-17,3,0,False,
STR-001,2025-03-17,4,0,False,
STR-001,2025-03-17,5,0,False,
STR-001,2025-03-17,6,1,False,
STR-001,2025-03-17,7,5,False,
STR-001,2025-03-17,8,1,False,
STR-001,2025-03-17,9,8,False,
STR-001,2025-03-17,10,12,False,
STR-001,2025-03-17,11,7,False,
STR-001,2025-03-17,12,12,False,
STR-001,2025-03-17,13,7,False,
STR-001,2025-03-17,14,7,False,
STR-001,2025-03-17,15,4,False,
STR-001,2025-03-17,16,7,False,
STR-001,2025-03-17,17,7,False,
STR-001,2025-03-17,18,11,False,
STR-001,2025-03-17,19,7,False,
STR-001,2025-03-17,20,9,False,
STR-001,2025-03-17,21,15,False,
STR-001,2025-03-17,22,1,False,
STR-001,2025-03-17,23,1,False,
STR-001,2025-03-18,0,0,False,
STR-001,2025-03-18,1,0,False,
STR-001,2025-03-18,2,0,False,
STR-001,2025-03-18,3,0,False,
STR-001,2025-03-18,4,0,False,
STR-001,2025-03-18,5,0,False,
STR-001,2025-03-18,6,3,False,
STR-001,2025-03-18,7,3,False,
STR-001,2025-03-18,8,1,False,
STR-001,2025-03-18,9,4,False,
STR-001,2025-03-18,10,6,False,
STR-001,2025-03-18,11,11,False,
STR-001,2025-03-18,12,11,False,
STR-001,2025-03-18,13,7,False,
STR-001,2025-03-18,14,10,False,
STR-001,2025-03-18,15,12,False,
STR-001,2025-03-18,16,9,False,
STR-001,2025-03-18,17,9,False,
STR-001,2025-03-18,18,10,False,
STR-001,2025-03-18,19,13,False,
STR-001,2025-03-18,20,13,False,
STR-001,2025-03-18,21,9,False,
STR-001,2025-03-18,22,3,False,
STR-001,2025-03-18,23,1,False,
STR-001,2025-03-19,0,0,False,
STR-001,2025-03-19,1,0,False,
STR-001,2025-03-19,2,0,False,
STR-001,2025-03-19,3,0,False,
STR-001,2025-03-19,4,0,False,
STR-001,2025-03-19,5,0,False,
STR-001,2025-03-19,6,3,False,
STR-001,2025-03-19,7,2,False,
STR-001,2025-03-19,8,4,False,
STR-001,2025-03-19,9,5,False,
STR-001,2025-03-19,10,3,False,
STR-001,2025-03-19,11,11,False,
STR-001,2025-03-19,12,7,False,
STR-001,2025-03-19,13,9,False,
STR-001,2025-03-19,14,12,False,
STR-001,2025-03-19,15,6,False,
STR-001,2025-03-19,16,6,False,
STR-001,2025-03-19,17,1,False,
STR-001,2025-03-19,18,15,False,
STR-001,2025-03-19,19,12,False,
STR-001,2025-03-19,20,17,False,
STR-001,2025-03-19,21,5,False,
STR-001,2025-03-19,22,4,False,
STR-001,2025-03-19,23,2,False,
STR-001,2025-03-20,0,0,False,
STR-001,2025-03-20,1,0,False,
STR-001,2025-03-20,2,0,False,
STR-001,2025-03-20,3,0,False,
STR-001,2025-03-20,4,0,False,
STR-001,2025-03-20,5,0,False,
STR-001,2025-03-20,6,2,False,
STR-001,2025-03-20,7,1,False,
STR-001,2025-03-20,8,6,False,
STR-001,2025-03-20,9,4,False,
STR-001,2025-03-20,10,8,False,
STR-001,2025-03-20,11,4,False,
STR-001,2025-03-20,12,9,False,
STR-001,2025-03-20,13,3,False,
STR-001,2025-03-20,14,14,False,
STR-001,2025-03-20,15,7,False,
STR-001,2025-03-20,16,12,False,
STR-001,2025-03-20,17,9,False,
STR-001,2025-03-20,18,7,False,
STR-001,2025-03-20,19,14,False,
STR-001,2025-03-20,20,10,False,
STR-001,2025-03-20,21,6,False,
STR-001,2025-03-20,22,2,False,
STR-001,2025-03-20,23,3,False,
STR-001,2025-03-21,0,0,False,
STR-001,2025-03-21,1,0,False,
STR-001,2025-03-21,2,0,False,
STR-001,2025-03-21,3,0,False,
STR-001,2025-03-21,4,0,False,
STR-001,2025-03-21,5,0,False,
STR-001,2025-03-21,6,3,False,
STR-001,2025-03-21,7,5,False,
STR-001,2025-03-21,8,6,False,
STR-001,2025-03-21,9,6,False,
STR-001,2025-03-21,10,10,False,
STR-001,2025-03-21,11,9,False,
STR-001,2025-03-21,12,10,False,
STR-001,2025-03-21,13,14,False,
STR-001,2025-03-21,14,6,False,
STR-001,2025-03-21,15,9,False,
STR-001,2025-03-21,16,9,False,
STR-001,2025-03-21,17,7,False,
STR-001,2025-03-21,18,8,False,
STR-001,2025-03-21,19,16,False,
STR-001,2025-03-21,20,11,False,
STR-001,2025-03-21,21,5,False,
STR-001,2025-03-21,22,1,False,
STR-001,2025-03-21,23,4,False,
STR-001,2025-03-22,0,0,True,
STR-001,2025-03-22,1,0,True,
STR-001,2025-03-22,2,0,True,
STR-001,2025-03-22,3,0,True,
STR-001,2025-03-22,4,0,True,
STR-001,2025-03-22,5,0,True,
STR-001,2025-03-22,6,3,True,
STR-001,2025-03-22,7,3,True,
STR-001,2025-03-22,8,5,True,
STR-001,2025-03-22,9,3,True,
STR-001,2025-03-22,10,9,True,
STR-001,2025-03-22,11,4,True,
STR-001,2025-03-22,12,16,True,
STR-001,2025-03-22,13,13,True,
STR-001,2025-03-22,14,15,True,
STR-001,2025-03-22,15,7,True,
STR-001,2025-03-22,16,11,True,
STR-001,2025-03-22,17,5,True,
STR-001,2025-03-22,18,13,True,
STR-001,2025-03-22,19,15,True,
STR-001,2025-03-22,20,11,True,
STR-001,2025-03-22,21,14,True,
STR-001,2025-03-22,22,2,True,
STR-001,2025-03-22,23,3,True,
STR-001,2025-03-23,0,0,True,
STR-001,2025-03-23,1,0,True,
STR-001,2025-03-23,2,0,True,
STR-001,2025-03-23,3,0,True,
STR-001,2025-03-23,4,0,True,
STR-001,2025-03-23,5,0,True,
STR-001,2025-03-23,6,1,True,
STR-001,2025-03-23,7,5,True,
STR-001,2025-03-23,8,3,True,
STR-001,2025-03-23,9,4,True,
STR-001,2025-03-23,10,4,True,
STR-001,2025-03-23,11,12,True,
STR-001,2025-03-23,12,12,True,
STR-001,2025-03-23,13,7,True,
