record_id,batch_id,store_id,sku_id,date,hour_of_day,units_sold,price_at_sale_inr,discount_depth_pct,time_to_expiry_hours_at_sale,day_of_week,is_weekend,is_holiday,outcome
SL-00047288,BAT-000231,STR-001,SKU-0077,2025-03-17,9,1,128.0,0.0,984,0,False,False,partially_sold
SL-00047289,BAT-000231,STR-001,SKU-0077,2025-03-18,15,1,128.0,0.0,960,1,False,False,partially_sold
SL-00047290,BAT-000231,STR-001,SKU-0077,2025-03-19,11,1,128.0,0.0,936,2,False,False,partially_sold
SL-00047291,BAT-000231,STR-001,SKU-0077,2025-03-20,17,1,128.0,0.0,912,3,False,False,partially_sold
SL-00047292,BAT-000231,STR-001,SKU-0077,2025-03-21,11,1,128.0,0.0,888,4,False,False,partially_sold
SL-00047293,BAT-000231,STR-001,SKU-0077,2025-03-22,17,1,128.0,0.0,864,5,True,False,partially_sold
SL-00047294,BAT-000231,STR-001,SKU-0077,2025-03-23,14,1,128.0,0.0,840,6,True,False,partially_sold
SL-00047295,BAT-000231,STR-001,SKU-0077,2025-03-24,21,1,128.0,0.0,816,0,False,False,partially_sold
SL-00047296,BAT-000231,STR-001,SKU-0077,2025-03-25,9,1,128.0,0.0,792,1,False,False,partially_sold
SL-00047297,BAT-000231,STR-001,SKU-0077,2025-03-26,16,1,128.0,0.0,768,2,False,False,partially_sold
SL-00047298,BAT-000231,STR-001,SKU-0077,2025-03-27,11,1,128.0,0.0,744,3,False,False,sold_out
SL-00047450,BAT-000168,STR-001,SKU-0056,2025-03-18,21,1,156.5,0.0,6072,1,False,False,partially_sold
SL-00047451,BAT-000168,STR-001,SKU-0056,2025-03-19,10,1,156.5,0.0,6048,2,False,False,partially_sold
SL-00047452,BAT-000168,STR-001,SKU-0056,2025-03-20,14,1,156.5,0.0,6024,3,False,False,partially_sold
SL-00047453,BAT-000168,STR-001,SKU-0056,2025-03-21,9,1,156.5,0.0,6000,4,False,False,partially_sold
SL-00047454,BAT-000168,STR-001,SKU-0056,2025-03-22,21,1,156.5,0.0,5976,5,True,False,partially_sold
SL-00047455,BAT-000168,STR-001,SKU-0056,2025-03-23,17,1,156.5,0.0,5952,6,True,False,partially_sold
SL-00047456,BAT-000168,STR-001,SKU-0056,2025-03-24,18,1,156.5,0.0,5928,0,False,False,partially_sold
SL-00047457,BAT-000168,STR-001,SKU-0056,2025-03-25,14,1,156.5,0.0,5904,1,False,False,partially_sold
SL-00047458,BAT-000168,STR-001,SKU-0056,2025-03-26,10,1,156.5,0.0,5880,2,False,False,partially_sold
SL-00047459,BAT-000168,STR-001,SKU-0056,2025-03-27,13,1,156.5,0.0,5856,3,False,False,partially_sold
SL-00047460,BAT-000168,STR-001,SKU-0056,2025-03-28,15,2,156.5,0.0,5832,4,False,False,partially_sold
SL-00047461,BAT-000168,STR-001,SKU-0056,2025-03-29,20,1,156.5,0.0,5808,5,True,False,partially_sold
SL-00047462,BAT-000168,STR-001,SKU-0056,2025-03-30,12,1,156.5,0.0,5784,6,True,False,partially_sold
SL-00047463,BAT-000168,STR-001,SKU-0056,2025-03-31,21,1,156.5,0.0,5760,0,False,False,expired_unsold
SL-00048200,BAT-000398,STR-001,SKU-0133,2025-03-25,17,1,82.0,0.0,1728,1,False,False,partially_sold
SL-00048201,BAT-000398,STR-001,SKU-0133,2025-03-26,14,1,82.0,0.0,1704,2,False,False,partially_sold
SL-00048202,BAT-000398,STR-001,SKU-0133,2025-03-27,18,1,82.0,0.0,1680,3,False,False,partially_sold
SL-00048203,BAT-000398,STR-001,SKU-0133,2025-03-28,16,1,82.0,0.0,1656,4,False,False,partially_sold
SL-00048204,BAT-000398,STR-001,SKU-0133,2025-03-29,21,1,82.0,0.0,1632,5,True,False,partially_sold
SL-00048205,BAT-000398,STR-001,SKU-0133,2025-03-30,9,1,82.0,0.0,1608,6,True,False,partially_sold
SL-00048206,BAT-000398,STR-001,SKU-0133,2025-03-31,21,1,82.0,0.0,1584,0,False,False,expired_unsold
SL-00048250,BAT-000247,STR-001,SKU-0083,2025-03-26,19,2,44.0,27.3,2184,2,False,False,partially_sold
SL-00048251,BAT-000247,STR-001,SKU-0083,2025-03-27,12,2,44.0,27.3,2160,3,False,False,partially_sold
SL-00048252,BAT-000247,STR-001,SKU-0083,2025-03-28,10,2,44.0,27.3,2136,4,False,False,partially_sold
SL-00048253,BAT-000247,STR-001,SKU-0083,2025-03-29,20,2,44.0,27.3,2112,5,True,False,partially_sold
SL-00048254,BAT-000247,STR-001,SKU-0083,2025-03-30,12,2,44.0,27.3,2088,6,True,False,partially_sold
SL-00048255,BAT-000247,STR-001,SKU-0083,2025-03-31,18,2,44.0,27.3,2064,0,False,False,expired_unsold
