store_id,city,date,avg_temperature_c,precipitation_probability_pct,condition
STR-001,Mumbai,2025-03-17,26.1,27,sunny
STR-001,Mumbai,2025-03-18,30.6,24,sunny
STR-001,Mumbai,2025-03-19,27.4,30,cloudy
STR-001,Mumbai,2025-03-20,25.2,26,sunny
STR-001,Mumbai,2025-03-21,24.9,7,sunny
STR-001,Mumbai,2025-03-22,27.2,23,sunny
STR-001,Mumbai,2025-03-23,26.2,25,sunny
STR-001,Mumbai,2025-03-24,27.6,18,sunny
STR-001,Mumbai,2025-03-25,27.2,26,sunny
STR-001,Mumbai,2025-03-26,26.4,29,sunny
STR-001,Mumbai,2025-03-27,25.2,18,sunny
STR-001,Mumbai,2025-03-28,24.2,15,sunny
STR-001,Mumbai,2025-03-29,25.8,15,sunny
STR-001,Mumbai,2025-03-30,27.8,11,sunny
STR-001,Mumbai,2025-03-31,26.8,11,sunny
